Frecuencia (kHz),Amplitud (Vpp)
34,0.019
35,0.037
36,0.08
37,0.17
38,0.364
38.25,0.46
38.5,0.64
38.75,0.944
39,1.55
39.25,2.6
39.5,3.96
39.75,5.52
39.8,5.76
39.85,6.08
39.9,6.4
39.95,6.64
40,6.88
40.05,6.96
40.1,7.04
40.15,6.88
40.2,6.64
40.25,6.08
40.3,5.84
40.35,5.44
40.4,4.96
40.45,4.48
40.5,4.04
40.55,3.76
40.6,3.4
40.65,3.12
40.7,2.8
40.75,2.34
40.8,2.4
40.85,2.24
40.9,2.08
40.95,1.92
41,1.6
41.25,1.08
41.5,0.96
42,0.536
43,0.322
44,0.28
45,0.244
46,0.122
47,0.06
48,0.05
49,0.05
50,0.043
51,0.03
52,0.03
53,0.03
54,0.042
55,0.067
56,0.068
57,0.034
58,0.022
59,0.036
60,0.027
