Distancia (pixeles),medicion 1,medicion 2,medicion 3,medicion 4,medicion 5,medicion 6,medicion 7,medicion 8,medicion 9,medicion 10,medicion 11,medicion 12,medicion 13,medicion 14,medicion 15,medicion 16,medicion 17,medicion 18,medicion 19,medicion 20,medicion 21,medicion 22,medicion 23,medicion 24
0,150.667,130.0,55.333,59.333,34.333,28.666999999999998,19.667,16.0,14.0,10.667,11.333,9.333,11.0,17.0,13.667,11.333,10.0,9.333,9.333,6.667000000000001,8.0,5.332999999999999,5.0,5.0
1,146.667,128.333,61.667,60.333,33.667,30.333000000000002,20.666999999999998,17.0,14.0,10.667,11.333,9.333,11.0,17.667,13.667,11.333,10.0,9.333,9.333,6.667000000000001,8.0,5.332999999999999,5.0,5.0
2,145.667,133.333,60.0,59.333,36.0,27.0,22.333000000000002,17.0,14.0,11.333,11.333,9.333,11.0,17.667,13.667,12.333,10.0,9.333,9.333,6.667000000000001,8.0,5.332999999999999,5.0,5.0
3,147.667,132.667,60.333,60.333,32.333,28.666999999999998,23.333000000000002,17.0,14.0,11.333,12.667,9.333,10.667,17.667,13.667,12.333,10.0,9.333,9.333,6.667000000000001,8.0,5.332999999999999,5.0,5.0
4,151.667,128.333,56.333,60.333,28.333000000000002,25.666999999999998,24.666999999999998,17.667,14.0,12.667,12.667,9.333,10.667,17.667,13.667,12.333,10.0,10.0,9.333,6.667000000000001,8.0,5.332999999999999,5.0,5.0
5,157.667,119.667,59.0,62.333,26.0,25.333000000000002,24.666999999999998,17.333,14.0,12.667,12.667,9.333,9.333,18.0,13.667,12.333,10.0,10.0,9.0,6.332999999999999,8.0,5.332999999999999,5.0,5.0
6,150.667,130.333,59.0,62.333,24.333000000000002,25.333000000000002,24.333000000000002,18.333,14.667,13.333,12.667,10.0,9.333,17.333,13.667,12.667,10.0,10.0,9.0,6.332999999999999,8.0,5.332999999999999,5.0,5.0
7,144.667,132.333,62.667,63.0,28.333000000000002,25.333000000000002,22.333000000000002,17.333,14.0,13.333,12.667,10.0,10.0,17.0,13.667,12.667,10.0,10.0,9.0,6.332999999999999,8.0,5.332999999999999,5.0,4.0
8,155.0,130.333,60.0,65.333,33.0,25.666999999999998,22.333000000000002,18.667,14.0,13.333,12.667,10.0,10.0,17.333,13.667,12.667,10.0,10.0,9.0,6.332999999999999,8.0,5.332999999999999,5.0,4.0
9,165.0,132.333,54.667,66.667,28.666999999999998,27.0,22.666999999999998,19.333,14.0,13.333,12.333,10.0,10.667,18.0,14.0,12.667,10.0,10.0,9.0,6.332999999999999,8.0,5.0,4.0,3.333
10,158.0,143.333,57.667,66.0,28.0,26.666999999999998,23.0,17.667,14.0,13.333,12.333,10.0,10.667,17.0,14.667,12.333,10.0,10.0,9.0,6.332999999999999,8.0,5.0,4.0,3.333
11,156.0,134.0,63.333,67.333,32.667,26.333000000000002,22.0,18.0,15.0,13.333,11.333,10.0,11.0,17.667,14.0,12.333,10.0,10.0,9.0,6.667000000000001,7.667000000000001,5.0,5.0,3.333
12,153.333,130.333,62.333,67.0,33.333,26.666999999999998,22.0,17.667,15.0,13.333,11.333,10.0,11.0,17.333,15.333,11.333,10.0,10.0,9.0,6.667000000000001,7.667000000000001,5.0,5.0,3.333
13,150.667,130.0,61.333,67.0,29.0,26.333000000000002,23.0,18.667,15.667,13.333,11.333,10.0,11.0,17.667,15.333,11.333,10.0,10.0,9.0,7.667000000000001,7.667000000000001,5.0,5.0,3.333
14,144.667,129.0,59.667,64.667,27.0,25.666999999999998,24.333000000000002,19.333,15.667,13.333,11.333,9.333,11.0,17.667,15.333,11.0,11.0,11.0,9.0,7.667000000000001,7.667000000000001,5.0,5.0,3.333
15,144.667,134.333,59.333,67.0,26.0,25.333000000000002,23.333000000000002,21.0,15.667,13.333,11.333,9.333,11.333,18.0,15.0,11.0,11.0,11.0,9.0,8.0,7.667000000000001,5.332999999999999,5.0,3.333
16,154.0,147.0,60.0,68.667,26.0,27.0,23.333000000000002,22.0,16.0,13.333,11.333,9.333,11.333,17.667,15.333,11.0,11.0,11.0,9.0,8.0,7.667000000000001,5.332999999999999,5.0,3.333
17,151.0,129.667,62.0,68.0,28.333000000000002,26.333000000000002,23.0,22.0,15.667,13.333,11.0,9.333,11.333,17.333,14.0,11.0,11.0,11.0,9.0,8.0,7.667000000000001,6.332999999999999,5.0,4.0
18,151.0,129.667,63.667,66.667,30.666999999999998,27.0,21.0,22.666999999999998,16.333,13.667,11.0,9.333,11.333,17.0,15.0,11.0,11.0,11.0,9.0,8.0,7.667000000000001,6.332999999999999,5.0,4.0
19,154.333,131.667,65.0,66.667,31.333000000000002,31.666999999999998,22.0,22.666999999999998,16.0,13.667,11.0,9.333,11.333,16.333,13.333,11.0,11.0,11.0,9.0,8.0,7.667000000000001,6.332999999999999,5.332999999999999,4.0
20,156.333,138.667,65.0,67.667,33.0,31.666999999999998,22.666999999999998,23.0,15.667,13.667,11.0,10.667,11.333,16.333,13.667,11.333,11.0,11.0,9.0,8.0,7.667000000000001,6.332999999999999,5.332999999999999,4.0
21,154.0,131.0,64.0,67.667,31.333000000000002,31.666999999999998,22.666999999999998,23.0,15.667,13.667,11.333,10.667,11.333,17.667,13.667,11.333,11.0,11.0,9.0,8.0,8.0,6.332999999999999,5.332999999999999,4.0
22,155.0,124.333,61.667,68.333,31.333000000000002,32.333,23.0,23.0,15.667,13.667,11.333,11.0,11.333,17.667,13.667,11.333,11.0,10.0,9.0,8.0,8.0,6.332999999999999,5.332999999999999,4.0
23,157.333,128.0,60.333,65.333,31.0,32.333,22.0,21.0,15.667,13.667,11.333,11.0,12.333,18.333,13.333,11.333,11.0,10.0,9.0,8.0,9.0,6.332999999999999,5.332999999999999,5.0
24,165.333,133.0,60.333,66.0,30.333000000000002,30.666999999999998,24.0,22.0,16.333,13.667,11.333,11.0,12.333,17.667,14.0,12.667,11.333,10.0,9.0,8.0,9.0,6.332999999999999,5.332999999999999,5.0
25,160.333,149.333,55.667,66.667,30.333000000000002,31.333000000000002,23.0,19.667,15.667,13.667,12.333,11.0,12.333,17.333,16.333,12.667,11.333,10.0,8.0,8.0,9.0,6.332999999999999,5.332999999999999,5.0
26,153.333,135.333,62.333,66.667,31.0,30.0,24.333000000000002,21.666999999999998,17.0,13.667,12.333,11.0,12.333,17.0,17.0,12.667,11.333,10.0,8.0,8.0,9.0,6.332999999999999,5.332999999999999,5.0
27,157.667,134.333,64.0,68.333,31.666999999999998,30.0,24.0,21.0,15.667,13.667,12.333,11.0,12.333,17.333,17.667,12.667,11.333,10.0,8.0,8.0,9.0,6.332999999999999,5.332999999999999,5.0
28,155.667,139.0,64.0,68.667,32.333,29.0,23.333000000000002,22.0,15.667,13.667,12.333,11.0,12.333,16.333,19.667,12.667,11.333,10.0,8.0,8.0,9.0,6.332999999999999,5.332999999999999,5.0
29,157.667,139.667,63.667,70.0,33.667,29.666999999999998,22.0,20.666999999999998,15.0,13.667,12.333,11.0,12.333,17.0,20.666999999999998,12.667,11.333,10.0,8.333,9.0,9.0,6.332999999999999,5.332999999999999,5.0
