Número de Medición,Posición (mm),Interfranja (px),Error (px)
1,516,,
2,511,"9,7","0,1"
3,506,"10,7","0,68069"
4,501,"11,89286","0,14898"
5,496,"11,86061","0,21069"
6,491,"13,43333","0,07382"
7,486,"14,21429","0,07143"
8,481,"14,81818","0,12713"
9,476,"15,71678","0,06886"
10,471,"16,42657","0,09404"
11,466,"17,69091","0,08699"
12,461,"18,52448","0,08902"
13,456,"19,37762","0,08477"
14,451,"20,05","0,07456"
15,446,"20,98901","0,08263"
16,441,,
17,436,"22,90549","0,08809"
18,431,"23,89011","0,08665"
19,426,"24,75604","0,0891"
20,421,"25,64176","0,10781"
21,416,"26,28929","0,13496"
22,411,"27,37363","0,11459"
23,406,"28,34615","0,08328"
24,401,"29,34615","0,10232"
25,396,"30,09341","0,11318"
