Time,Value
"0,000000","2,061201E+0"
"0,010000","1,878112E+0"
"0,020000","2,102993E+0"
"0,030000","1,864182E+0"
"0,040000","2,162695E+0"
"0,050000","1,854231E+0"
"0,060000","2,065181E+0"
"0,070000","1,848261E+0"
"0,080000","2,120903E+0"
"0,090000","1,864182E+0"
"0,100000","2,194537E+0"
"0,110000","1,856221E+0"
"0,120000","2,206477E+0"
"0,130000","1,796518E+0"
"0,140000","2,190557E+0"
"0,150000","1,782588E+0"
"0,160000","2,162695E+0"
"0,170000","1,768657E+0"
"0,180000","2,168666E+0"
"0,190000","1,740796E+0"
"0,200000","2,106973E+0"
"0,210000","1,754727E+0"
"0,220000","2,162695E+0"
"0,230000","1,738806E+0"
"0,240000","2,232349E+0"
"0,250000","1,679103E+0"
"0,260000","2,250259E+0"
"0,270000","1,740796E+0"
"0,280000","2,284091E+0"
"0,290000","1,714925E+0"
"0,300000","2,240309E+0"
"0,310000","1,695024E+0"
"0,320000","2,321903E+0"
"0,330000","1,679103E+0"
"0,340000","2,296031E+0"
"0,350000","1,653232E+0"
"0,360000","2,302002E+0"
"0,370000","1,605470E+0"
"0,380000","2,246279E+0"
"0,390000","1,665172E+0"
"0,400000","2,284091E+0"
"0,410000","1,589549E+0"
"0,420000","2,365685E+0"
"0,430000","1,559698E+0"
"0,440000","2,331853E+0"
"0,450000","1,581589E+0"
"0,460000","2,427377E+0"
"0,470000","1,537807E+0"
"0,480000","2,345784E+0"
"0,490000","1,581589E+0"
"0,500000","2,401506E+0"
"0,510000","1,545767E+0"
"0,520000","2,373645E+0"
"0,530000","1,575618E+0"
"0,540000","2,437328E+0"
"0,550000","1,547757E+0"
"0,560000","2,415437E+0"
"0,570000","1,549747E+0"
"0,580000","2,536832E+0"
"0,590000","1,539797E+0"
"0,600000","2,471159E+0"
"0,610000","1,499995E+0"
"0,620000","2,510961E+0"
"0,630000","1,494025E+0"
"0,640000","2,437328E+0"
"0,650000","1,464173E+0"
"0,660000","2,514941E+0"
"0,670000","1,460193E+0"
"0,680000","2,451259E+0"
"0,690000","1,486064E+0"
"0,700000","2,584595E+0"
"0,710000","1,430342E+0"
"0,720000","2,576634E+0"
"0,730000","1,422381E+0"
"0,740000","2,562704E+0"
"0,750000","1,384570E+0"
"0,760000","2,582605E+0"
"0,770000","1,394520E+0"
"0,780000","2,596535E+0"
"0,790000","1,412431E+0"
"0,800000","2,590565E+0"
"0,810000","1,374619E+0"
"0,820000","2,570664E+0"
"0,830000","1,410441E+0"
"0,840000","2,540813E+0"
"0,850000","1,412431E+0"
"0,860000","2,610466E+0"
"0,870000","1,348748E+0"
"0,880000","2,566684E+0"
"0,890000","1,368649E+0"
"0,900000","2,662208E+0"
"0,910000","1,304966E+0"
"0,920000","2,676139E+0"
"0,930000","1,271134E+0"
"0,940000","2,680119E+0"
