Time,Value
"0,000000","9,845128E+1"
"0,002000","1,001429E+2"
"0,004000","9,367506E+1"
"0,006000","9,407308E+1"
"0,008000","9,088893E+1"
"0,010000","9,118745E+1"
"0,012000","9,059042E+1"
"0,014000","9,397357E+1"
"0,016000","9,705822E+1"
"0,018000","9,964534E+1"
"0,020000","9,845128E+1"
"0,022000","1,005409E+2"
"0,024000","9,357556E+1"
"0,026000","9,059042E+1"
"0,028000","8,909785E+1"
"0,030000","8,830181E+1"
"0,032000","9,049091E+1"
"0,034000","9,387407E+1"
"0,036000","9,666020E+1"
"0,038000","9,785425E+1"
"0,040000","9,785425E+1"
"0,042000","9,924732E+1"
"0,044000","9,536664E+1"
"0,046000","9,238150E+1"
"0,048000","8,949587E+1"
"0,050000","8,770479E+1"
"0,052000","9,118745E+1"
"0,054000","9,248101E+1"
"0,056000","9,606317E+1"
"0,058000","9,845128E+1"
"0,060000","1,006404E+2"
"0,062000","9,845128E+1"
"0,064000","9,526713E+1"
"0,066000","9,287902E+1"
"0,068000","8,760528E+1"
"0,070000","8,810280E+1"
"0,072000","8,850082E+1"
"0,074000","9,476961E+1"
"0,076000","9,725723E+1"
"0,078000","1,005409E+2"
"0,080000","9,785425E+1"
"0,082000","9,646119E+1"
"0,084000","9,566515E+1"
"0,086000","9,327704E+1"
"0,088000","9,098844E+1"
"0,090000","9,088893E+1"
"0,092000","9,188398E+1"
"0,094000","9,496862E+1"
"0,096000","9,546614E+1"
"0,098000","1,013369E+2"
"0,100000","1,004414E+2"
"0,102000","9,695871E+1"
"0,104000","9,725723E+1"
"0,106000","9,088893E+1"
"0,108000","9,088893E+1"
"0,110000","9,029191E+1"
"0,112000","9,188398E+1"
"0,114000","9,427209E+1"
"0,116000","9,894880E+1"
"0,118000","9,964534E+1"
"0,120000","9,815277E+1"
"0,122000","9,805326E+1"
"0,124000","9,626218E+1"
"0,126000","9,148596E+1"
"0,128000","8,989389E+1"
"0,130000","8,919736E+1"
"0,132000","9,108794E+1"
"0,134000","9,268002E+1"
"0,136000","9,666020E+1"
"0,138000","9,994385E+1"
"0,140000","9,735673E+1"
"0,142000","9,825227E+1"
"0,144000","9,407308E+1"
"0,146000","8,959537E+1"
"0,148000","9,059042E+1"
"0,150000","9,118745E+1"
"0,152000","9,108794E+1"
"0,154000","9,198348E+1"
"0,156000","9,845128E+1"
"0,158000","9,894880E+1"
"0,160000","9,755574E+1"
"0,162000","9,666020E+1"
"0,164000","9,656069E+1"
"0,166000","9,108794E+1"
"0,168000","8,989389E+1"
"0,170000","8,989389E+1"
"0,172000","8,989389E+1"
"0,174000","9,287902E+1"
"0,176000","9,616268E+1"
"0,178000","9,805326E+1"
"0,180000","9,904831E+1"
"0,182000","9,735673E+1"
"0,184000","9,666020E+1"
"0,186000","9,317754E+1"
"0,188000","9,108794E+1"
"0,190000","9,108794E+1"
"0,192000","8,820231E+1"
"0,194000","9,268002E+1"
"0,196000","9,815277E+1"
"0,198000","9,894880E+1"
"0,200000","9,785425E+1"
"0,202000","9,974484E+1"
"0,204000","9,347605E+1"
"0,206000","9,238150E+1"
"0,208000","9,078943E+1"
"0,210000","9,138646E+1"
"0,212000","9,138646E+1"
"0,214000","9,248101E+1"
"0,216000","9,596367E+1"
"0,218000","9,984434E+1"
"0,220000","1,001429E+2"
"0,222000","9,656069E+1"
"0,224000","9,695871E+1"
"0,226000","9,098844E+1"
"0,228000","9,059042E+1"
"0,230000","8,909785E+1"
"0,232000","8,820231E+1"
"0,234000","9,168497E+1"
"0,236000","9,755574E+1"
"0,238000","9,865029E+1"
"0,240000","1,003419E+2"
"0,242000","9,974484E+1"
"0,244000","9,357556E+1"
"0,246000","9,098844E+1"
"0,248000","9,039141E+1"
"0,250000","9,049091E+1"
"0,252000","8,899835E+1"
"0,254000","9,148596E+1"
"0,256000","9,695871E+1"
"0,258000","9,825227E+1"
"0,260000","9,745623E+1"
"0,262000","9,675970E+1"
"0,264000","9,735673E+1"
"0,266000","8,969488E+1"
"0,268000","9,098844E+1"
"0,270000","8,830181E+1"
"0,272000","8,899835E+1"
"0,274000","9,168497E+1"
"0,276000","9,516763E+1"
"0,278000","9,835178E+1"
"0,280000","9,695871E+1"
"0,282000","9,666020E+1"
"0,284000","9,705822E+1"
"0,286000","9,019240E+1"
"0,288000","8,750578E+1"
"0,290000","8,750578E+1"
"0,292000","9,039141E+1"
"0,294000","9,367506E+1"
"0,296000","9,884930E+1"
"0,298000","9,735673E+1"
"0,300000","9,825227E+1"
"0,302000","9,984434E+1"
"0,304000","9,407308E+1"
"0,306000","9,297853E+1"
"0,308000","9,128695E+1"
"0,310000","8,989389E+1"
"0,312000","8,989389E+1"
"0,314000","9,108794E+1"
"0,316000","9,845128E+1"
"0,318000","1,010384E+2"
"0,320000","1,005409E+2"
"0,322000","9,845128E+1"
"0,324000","9,427209E+1"
"0,326000","9,277952E+1"
"0,328000","8,969488E+1"
"0,330000","8,770479E+1"
"0,332000","8,820231E+1"
"0,334000","9,457060E+1"
"0,336000","9,536664E+1"
"0,338000","9,845128E+1"
"0,340000","1,005409E+2"
"0,342000","9,944633E+1"
"0,344000","9,417258E+1"
"0,346000","9,118745E+1"
"0,348000","9,118745E+1"
"0,350000","9,128695E+1"
"0,352000","9,178447E+1"
"0,354000","9,268002E+1"
"0,356000","9,845128E+1"
"0,358000","1,005409E+2"
"0,360000","9,984434E+1"
"0,362000","9,785425E+1"
"0,364000","9,437159E+1"
"0,366000","9,178447E+1"
"0,368000","9,118745E+1"
"0,370000","8,860033E+1"
"0,372000","8,850082E+1"
"0,374000","9,168497E+1"
"0,376000","9,745623E+1"
"0,378000","9,795376E+1"
"0,380000","9,954583E+1"
"0,382000","9,904831E+1"
"0,384000","9,437159E+1"
"0,386000","9,327704E+1"
"0,388000","9,158546E+1"
"0,390000","8,800330E+1"
"0,392000","9,188398E+1"
"0,394000","9,397357E+1"
"0,396000","9,606317E+1"
"0,398000","9,994385E+1"
"0,400000","1,012374E+2"
"0,402000","9,586416E+1"
"0,404000","9,556565E+1"
"0,406000","9,068992E+1"
"0,408000","9,108794E+1"
"0,410000","8,830181E+1"
"0,412000","9,178447E+1"
"0,414000","9,467011E+1"
"0,416000","1,000434E+2"
"0,418000","9,954583E+1"
"0,420000","9,944633E+1"
"0,422000","9,914781E+1"
"0,424000","9,347605E+1"
"0,426000","9,208299E+1"
"0,428000","8,939636E+1"
"0,430000","8,700825E+1"
"0,432000","8,969488E+1"
"0,434000","9,337655E+1"
"0,436000","1,000434E+2"
"0,438000","9,705822E+1"
"0,440000","9,745623E+1"
"0,442000","9,705822E+1"
"0,444000","9,646119E+1"
"0,446000","8,939636E+1"
"0,448000","8,979438E+1"
"0,450000","8,889884E+1"
"0,452000","8,860033E+1"
"0,454000","9,397357E+1"
"0,456000","9,785425E+1"
"0,458000","9,715772E+1"
"0,460000","9,805326E+1"
"0,462000","9,934682E+1"
"0,464000","9,417258E+1"
"0,466000","9,148596E+1"
"0,468000","9,128695E+1"
"0,470000","9,029191E+1"
"0,472000","8,949587E+1"
"0,474000","9,516763E+1"
"0,476000","9,636168E+1"
"0,478000","9,755574E+1"
"0,480000","9,795376E+1"
"0,482000","9,825227E+1"
"0,484000","9,467011E+1"
"0,486000","9,029191E+1"
"0,488000","8,949587E+1"
"0,490000","8,840132E+1"
"0,492000","8,929686E+1"
"0,494000","9,248101E+1"
"0,496000","9,735673E+1"
"0,498000","9,944633E+1"
"0,500000","9,964534E+1"
"0,502000","9,705822E+1"
"0,504000","9,566515E+1"
"0,506000","9,029191E+1"
"0,508000","8,790380E+1"
"0,510000","8,760528E+1"
"0,512000","8,879934E+1"
"0,514000","9,347605E+1"
"0,516000","9,646119E+1"
"0,518000","9,944633E+1"
"0,520000","1,013369E+2"
"0,522000","9,874979E+1"
"0,524000","9,307803E+1"
"0,526000","9,138646E+1"
"0,528000","8,850082E+1"
"0,530000","8,810280E+1"
"0,532000","8,919736E+1"
"0,534000","9,158546E+1"
"0,536000","9,934682E+1"
"0,538000","1,001429E+2"
"0,540000","1,006404E+2"
"0,542000","9,576466E+1"
"0,544000","9,626218E+1"
"0,546000","8,909785E+1"
"0,548000","8,780429E+1"
"0,550000","8,670974E+1"
"0,552000","9,078943E+1"
"0,554000","9,178447E+1"
"0,556000","9,725723E+1"
"0,558000","9,904831E+1"
"0,560000","9,795376E+1"
"0,562000","9,656069E+1"
"0,564000","9,467011E+1"
"0,566000","8,919736E+1"
"0,568000","8,919736E+1"
"0,570000","8,700825E+1"
"0,572000","8,909785E+1"
"0,574000","9,496862E+1"
"0,576000","9,666020E+1"
"0,578000","9,924732E+1"
"0,580000","9,954583E+1"
"0,582000","9,924732E+1"
"0,584000","9,407308E+1"
"0,586000","8,969488E+1"
"0,588000","8,899835E+1"
"0,590000","8,780429E+1"
"0,592000","9,108794E+1"
"0,594000","9,178447E+1"
"0,596000","9,845128E+1"
"0,598000","1,009389E+2"
