Time,Value
"0,000000","1,185279E+4"
"0,100000","1,187762E+4"
"0,200000","1,180314E+4"
"0,300000","1,187762E+4"
"0,400000","1,185279E+4"
"0,500000","1,185279E+4"
"0,600000","1,190244E+4"
"0,700000","1,180314E+4"
"0,800000","1,187762E+4"
"0,900000","1,182796E+4"
"1,000000","1,192727E+4"
"1,100000","1,192727E+4"
"1,200000","1,177831E+4"
"1,300000","1,187762E+4"
"1,400000","1,187762E+4"
"1,500000","1,190244E+4"
"1,600000","1,192727E+4"
"1,700000","1,190244E+4"
"1,800000","1,187762E+4"
"1,900000","1,182796E+4"
"2,000000","1,182796E+4"
"2,100000","1,197693E+4"
"2,200000","1,190244E+4"
"2,300000","1,195210E+4"
"2,400000","1,195210E+4"
"2,500000","1,197693E+4"
"2,600000","1,187762E+4"
"2,700000","1,190244E+4"
"2,800000","1,192727E+4"
"2,900000","1,190244E+4"
"3,000000","1,197693E+4"
"3,100000","1,190244E+4"
"3,200000","1,190244E+4"
"3,300000","1,197693E+4"
"3,400000","1,185279E+4"
"3,500000","1,197693E+4"
"3,600000","1,182796E+4"
"3,700000","1,192727E+4"
"3,800000","1,190244E+4"
"3,900000","1,187762E+4"
"4,000000","1,197693E+4"
"4,100000","1,197693E+4"
"4,200000","1,190244E+4"
"4,300000","1,190244E+4"
"4,400000","1,185279E+4"
"4,500000","1,187762E+4"
"4,600000","1,197693E+4"
"4,700000","1,187762E+4"
"4,800000","1,187762E+4"
"4,900000","1,190244E+4"
"5,000000","1,187762E+4"
"5,100000","1,197693E+4"
"5,200000","1,190244E+4"
"5,300000","1,185279E+4"
"5,400000","1,190244E+4"
"5,500000","1,195210E+4"
"5,600000","1,192727E+4"
"5,700000","1,185279E+4"
"5,800000","1,195210E+4"
"5,900000","1,200175E+4"
"6,000000","1,182796E+4"
"6,100000","1,187762E+4"
"6,200000","1,200175E+4"
"6,300000","1,190244E+4"
"6,400000","1,187762E+4"
"6,500000","1,192727E+4"
"6,600000","1,200175E+4"
"6,700000","1,190244E+4"
"6,800000","1,190244E+4"
"6,900000","1,190244E+4"
"7,000000","1,190244E+4"
"7,100000","1,190244E+4"
"7,200000","1,197693E+4"
"7,300000","1,190244E+4"
"7,400000","1,185279E+4"
"7,500000","1,182796E+4"
"7,600000","1,190244E+4"
"7,700000","1,190244E+4"
"7,800000","1,187762E+4"
"7,900000","1,187762E+4"
"8,000000","1,190244E+4"
"8,100000","1,187762E+4"
"8,200000","1,195210E+4"
"8,300000","1,190244E+4"
"8,400000","1,187762E+4"
"8,500000","1,195210E+4"
"8,600000","1,185279E+4"
"8,700000","1,182796E+4"
"8,800000","1,182796E+4"
"8,900000","1,195210E+4"
"9,000000","1,187762E+4"
"9,100000","1,195210E+4"
"9,200000","1,187762E+4"
"9,300000","1,195210E+4"
"9,400000","1,182796E+4"
"9,500000","1,182796E+4"
"9,600000","1,192727E+4"
"9,700000","1,187762E+4"
"9,800000","1,190244E+4"
"9,900000","1,192727E+4"
"10,000000","1,182796E+4"
"10,100000","1,195210E+4"
"10,200000","1,195210E+4"
"10,300000","1,187762E+4"
"10,400000","1,182796E+4"
"10,500000","1,182796E+4"
"10,600000","1,190244E+4"
"10,700000","1,187762E+4"
"10,800000","1,195210E+4"
"10,900000","1,192727E+4"
"11,000000","1,190244E+4"
"11,100000","1,180314E+4"
"11,200000","1,197693E+4"
"11,300000","1,185279E+4"
"11,400000","1,182796E+4"
"11,500000","1,195210E+4"
"11,600000","1,192727E+4"
"11,700000","1,195210E+4"
"11,800000","1,180314E+4"
"11,900000","1,180314E+4"
"12,000000","1,190244E+4"
"12,100000","1,190244E+4"
"12,200000","1,190244E+4"
"12,300000","1,190244E+4"
"12,400000","1,197693E+4"
"12,500000","1,185279E+4"
"12,600000","1,195210E+4"
"12,700000","1,185279E+4"
"12,800000","1,195210E+4"
"12,900000","1,192727E+4"
"13,000000","1,192727E+4"
"13,100000","1,195210E+4"
"13,200000","1,190244E+4"
"13,300000","1,192727E+4"
"13,400000","1,187762E+4"
"13,500000","1,195210E+4"
"13,600000","1,190244E+4"
"13,700000","1,190244E+4"
"13,800000","1,185279E+4"
"13,900000","1,190244E+4"
"14,000000","1,195210E+4"
"14,100000","1,197693E+4"
"14,200000","1,197693E+4"
"14,300000","1,187762E+4"
"14,400000","1,200175E+4"
"14,500000","1,190244E+4"
"14,600000","1,192727E+4"
"14,700000","1,190244E+4"
"14,800000","1,187762E+4"
"14,900000","1,190244E+4"
"15,000000","1,192727E+4"
"15,100000","1,192727E+4"
"15,200000","1,200175E+4"
"15,300000","1,192727E+4"
"15,400000","1,190244E+4"
"15,500000","1,187762E+4"
"15,600000","1,190244E+4"
"15,700000","1,200175E+4"
"15,800000","1,192727E+4"
"15,900000","1,197693E+4"
"16,000000","1,185279E+4"
"16,100000","1,197693E+4"
"16,200000","1,190244E+4"
"16,300000","1,190244E+4"
"16,400000","1,187762E+4"
"16,500000","1,187762E+4"
"16,600000","1,190244E+4"
"16,700000","1,190244E+4"
"16,800000","1,197693E+4"
"16,900000","1,192727E+4"
"17,000000","1,190244E+4"
"17,100000","1,190244E+4"
"17,200000","1,185279E+4"
"17,300000","1,190244E+4"
"17,400000","1,192727E+4"
"17,500000","1,187762E+4"
"17,600000","1,190244E+4"
"17,700000","1,187762E+4"
"17,800000","1,192727E+4"
"17,900000","1,190244E+4"
"18,000000","1,187762E+4"
"18,100000","1,197693E+4"
"18,200000","1,197693E+4"
"18,300000","1,187762E+4"
"18,400000","1,192727E+4"
"18,500000","1,195210E+4"
"18,600000","1,190244E+4"
"18,700000","1,192727E+4"
"18,800000","1,182796E+4"
"18,900000","1,180314E+4"
"19,000000","1,185279E+4"
"19,100000","1,187762E+4"
"19,200000","1,190244E+4"
"19,300000","1,187762E+4"
"19,400000","1,195210E+4"
"19,500000","1,187762E+4"
"19,600000","1,187762E+4"
"19,700000","1,195210E+4"
"19,800000","1,197693E+4"
"19,900000","1,190244E+4"
"20,000000","1,195210E+4"
"20,100000","1,187762E+4"
"20,200000","1,187762E+4"
"20,300000","1,192727E+4"
"20,400000","1,187762E+4"
"20,500000","1,182796E+4"
"20,600000","1,200175E+4"
"20,700000","1,185279E+4"
"20,800000","1,190244E+4"
"20,900000","1,187762E+4"
"21,000000","1,195210E+4"
"21,100000","1,187762E+4"
"21,200000","1,195210E+4"
"21,300000","1,197693E+4"
"21,400000","1,187762E+4"
"21,500000","1,190244E+4"
"21,600000","1,182796E+4"
"21,700000","1,187762E+4"
"21,800000","1,187762E+4"
"21,900000","1,195210E+4"
"22,000000","1,185279E+4"
"22,100000","1,190244E+4"
"22,200000","1,190244E+4"
"22,300000","1,187762E+4"
"22,400000","1,190244E+4"
"22,500000","1,190244E+4"
"22,600000","1,192727E+4"
"22,700000","1,190244E+4"
"22,800000","1,177831E+4"
"22,900000","1,192727E+4"
"23,000000","1,195210E+4"
"23,100000","1,195210E+4"
"23,200000","1,195210E+4"
"23,300000","1,190244E+4"
"23,400000","1,187762E+4"
"23,500000","1,185279E+4"
"23,600000","1,190244E+4"
"23,700000","1,190244E+4"
"23,800000","1,192727E+4"
"23,900000","1,192727E+4"
"24,000000","1,195210E+4"
"24,100000","1,190244E+4"
"24,200000","1,190244E+4"
"24,300000","1,190244E+4"
"24,400000","1,185279E+4"
"24,500000","1,190244E+4"
"24,600000","1,190244E+4"
"24,700000","1,190244E+4"
"24,800000","1,195210E+4"
"24,900000","1,190244E+4"
"25,000000","1,190244E+4"
"25,100000","1,182796E+4"
"25,200000","1,192727E+4"
"25,300000","1,190244E+4"
"25,400000","1,190244E+4"
"25,500000","1,187762E+4"
"25,600000","1,197693E+4"
"25,700000","1,195210E+4"
"25,800000","1,182796E+4"
"25,900000","1,187762E+4"
"26,000000","1,190244E+4"
"26,100000","1,190244E+4"
"26,200000","1,200175E+4"
"26,300000","1,187762E+4"
"26,400000","1,182796E+4"
"26,500000","1,195210E+4"
"26,600000","1,200175E+4"
"26,700000","1,190244E+4"
"26,800000","1,190244E+4"
"26,900000","1,187762E+4"
"27,000000","1,195210E+4"
"27,100000","1,195210E+4"
"27,200000","1,192727E+4"
"27,300000","1,192727E+4"
"27,400000","1,185279E+4"
"27,500000","1,200175E+4"
"27,600000","1,185279E+4"
"27,700000","1,187762E+4"
"27,800000","1,190244E+4"
"27,900000","1,185279E+4"
"28,000000","1,185279E+4"
"28,100000","1,190244E+4"
"28,200000","1,195210E+4"
"28,300000","1,182796E+4"
"28,400000","1,195210E+4"
"28,500000","1,185279E+4"
"28,600000","1,190244E+4"
"28,700000","1,185279E+4"
"28,800000","1,197693E+4"
"28,900000","1,197693E+4"
"29,000000","1,190244E+4"
"29,100000","1,190244E+4"
"29,200000","1,187762E+4"
"29,300000","1,187762E+4"
"29,400000","1,182796E+4"
"29,500000","1,190244E+4"
"29,600000","1,187762E+4"
"29,700000","1,190244E+4"
"29,800000","1,187762E+4"
