Time,Value
"0,000000","8,792404E+2"
"0,010000","8,544134E+2"
"0,020000","8,295863E+2"
"0,030000","9,288945E+2"
"0,040000","8,792404E+2"
"0,050000","8,792404E+2"
"0,060000","8,544134E+2"
"0,070000","8,047593E+2"
"0,080000","8,544134E+2"
"0,090000","9,040674E+2"
"0,100000","8,544134E+2"
"0,110000","7,799322E+2"
"0,120000","8,544134E+2"
"0,130000","8,544134E+2"
"0,140000","7,799322E+2"
"0,150000","8,295863E+2"
"0,160000","7,799322E+2"
"0,170000","8,295863E+2"
"0,180000","8,544134E+2"
"0,190000","9,040674E+2"
"0,200000","7,799322E+2"
"0,210000","9,288945E+2"
"0,220000","8,792404E+2"
"0,230000","8,792404E+2"
"0,240000","8,544134E+2"
"0,250000","8,544134E+2"
"0,260000","9,040674E+2"
"0,270000","8,792404E+2"
"0,280000","7,799322E+2"
"0,290000","8,047593E+2"
"0,300000","8,792404E+2"
"0,310000","8,295863E+2"
"0,320000","8,792404E+2"
"0,330000","9,288945E+2"
"0,340000","8,544134E+2"
"0,350000","8,295863E+2"
"0,360000","7,799322E+2"
"0,370000","7,799322E+2"
"0,380000","8,544134E+2"
"0,390000","9,288945E+2"
"0,400000","9,040674E+2"
"0,410000","8,792404E+2"
"0,420000","7,799322E+2"
"0,430000","9,040674E+2"
"0,440000","9,040674E+2"
"0,450000","8,544134E+2"
"0,460000","8,544134E+2"
"0,470000","9,537215E+2"
"0,480000","7,799322E+2"
"0,490000","8,544134E+2"
"0,500000","8,792404E+2"
"0,510000","9,288945E+2"
"0,520000","7,551052E+2"
"0,530000","8,792404E+2"
"0,540000","8,792404E+2"
"0,550000","9,040674E+2"
"0,560000","7,799322E+2"
"0,570000","8,792404E+2"
"0,580000","8,544134E+2"
"0,590000","9,537215E+2"
"0,600000","8,792404E+2"
"0,610000","9,537215E+2"
"0,620000","9,040674E+2"
"0,630000","8,792404E+2"
"0,640000","7,799322E+2"
"0,650000","9,288945E+2"
"0,660000","8,295863E+2"
"0,670000","8,047593E+2"
"0,680000","8,792404E+2"
"0,690000","8,295863E+2"
"0,700000","8,295863E+2"
"0,710000","9,040674E+2"
"0,720000","8,047593E+2"
"0,730000","8,544134E+2"
"0,740000","7,799322E+2"
"0,750000","8,295863E+2"
"0,760000","8,792404E+2"
"0,770000","9,537215E+2"
"0,780000","9,040674E+2"
"0,790000","8,544134E+2"
"0,800000","8,047593E+2"
"0,810000","8,792404E+2"
"0,820000","9,040674E+2"
"0,830000","9,288945E+2"
"0,840000","8,792404E+2"
"0,850000","9,288945E+2"
"0,860000","8,295863E+2"
"0,870000","8,047593E+2"
"0,880000","8,544134E+2"
"0,890000","8,792404E+2"
"0,900000","8,295863E+2"
"0,910000","8,544134E+2"
"0,920000","8,544134E+2"
"0,930000","9,040674E+2"
"0,940000","8,544134E+2"
"0,950000","8,792404E+2"
"0,960000","8,544134E+2"
"0,970000","9,040674E+2"
"0,980000","9,040674E+2"
"0,990000","8,544134E+2"
"1,000000","8,295863E+2"
"1,010000","7,799322E+2"
"1,020000","8,544134E+2"
"1,030000","9,288945E+2"
"1,040000","9,040674E+2"
"1,050000","8,792404E+2"
"1,060000","8,295863E+2"
"1,070000","8,047593E+2"
"1,080000","8,295863E+2"
"1,090000","8,047593E+2"
"1,100000","8,544134E+2"
"1,110000","8,544134E+2"
"1,120000","8,295863E+2"
"1,130000","8,792404E+2"
"1,140000","9,040674E+2"
"1,150000","8,792404E+2"
"1,160000","8,047593E+2"
"1,170000","8,544134E+2"
"1,180000","8,544134E+2"
"1,190000","8,295863E+2"
"1,200000","8,047593E+2"
"1,210000","8,792404E+2"
"1,220000","9,040674E+2"
"1,230000","8,295863E+2"
"1,240000","8,544134E+2"
